MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58255.572982,22.005,7.091,6,41,o,0,1.07,318.17044,-42.50001,1077.29,10057.92,3.58,2.95,-84.7,-0.453,18.04,19.41,01a58255o0480o
58255.578519,-20.262,1.159,-28,33,o,0,0.99,318.17044,-42.50001,6539.6,391.19,3.44,3.09,80.4,-0.427,18.18,19.63,01a58255o0492o
58255.580823,20.295,1.151,28,32,o,0,1.61,318.17044,-42.50001,1049.51,9995.38,3.43,2.85,88.9,-0.454,18.0,19.39,01a58255o0497o
58255.586354,22.334,7.667,4,32,o,0,1.08,318.17044,-42.50001,6510.99,329.19,3.28,3.03,83.0,-0.428,18.22,19.61,01a58255o0509o
58255.588659,20.776,2.108,18,38,o,0,1.19,318.17044,-42.50001,1095.57,10052.55,3.55,2.98,89.4,-0.441,18.2,19.63,01a58255o0514o
58255.594864,-21.616,5.706,-8,47,o,0,1.07,318.17044,-42.50001,6553.91,380.49,3.35,3.15,50.6,-0.413,18.33,19.76,01a58255o0526o
58255.597154,21.046,2.5,14,35,o,0,0.87,318.17044,-42.50001,1097.05,9907.44,3.53,2.85,-88.8,-0.447,18.04,19.41,01a58255o0531o
58255.602727,19.899,0.74,40,30,o,0,1.24,318.17044,-42.50001,6554.96,237.8,3.38,3.23,68.5,-0.413,18.39,19.81,01a58255o0543o
58257.584592,-20.523,0.652,-22,15,c,0,1.16,318.17044,-42.50001,6226.79,9355.6,2.84,2.72,-8.2,-0.403,19.35,21.4,02a58257o0761c
58257.594693,-22.808,5.429,-3,15,c,0,1.03,318.17044,-42.50001,6254.59,9395.98,2.86,2.72,-1.4,-0.405,19.4,21.43,02a58257o0783c
58257.607028,-25.605,80.0,0,17,c,0,0.9,318.17044,-42.50001,6194.43,9318.69,2.95,2.8,-2.0,-0.402,19.32,21.32,02a58257o0810c
58257.609805,-20.313,0.601,-27,16,c,0,1.02,318.17044,-42.50001,6164.52,9436.68,2.89,2.76,-23.9,-0.391,19.27,21.17,02a58257o0816c
58259.572487,-21.672,3.778,-8,29,o,0,0.89,318.17044,-42.50001,1190.21,10520.63,3.76,3.17,-87.3,-0.441,18.77,20.28,01a58259o0737o
58259.578012,-20.817,1.121,-17,19,o,0,1.31,318.17044,-42.50001,6652.21,845.68,3.69,3.47,76.8,-0.402,18.9,20.44,01a58259o0749o
58259.580311,20.105,0.624,33,21,o,0,1.14,318.17044,-42.50001,1163.64,10456.36,3.93,3.31,-86.8,-0.415,18.79,20.33,01a58259o0754o
58259.585842,-21.064,1.294,-14,18,o,0,1.06,318.17044,-42.50001,6610.32,782.15,3.59,3.27,88.5,-0.406,18.9,20.46,01a58259o0766o
58259.588133,20.205,0.757,30,23,o,0,1.33,318.17044,-42.50001,1210.21,10511.29,3.74,3.21,-86.6,-0.44,18.86,20.37,01a58259o0771o
58259.593639,-21.89,2.958,-6,19,o,0,1.02,318.17044,-42.50001,6654.11,834.12,3.52,3.35,56.0,-0.395,18.96,20.49,01a58259o0783o
58259.595946,-22.89,8.375,-2,21,o,0,1.08,318.17044,-42.50001,1212.92,10367.2,4.02,3.38,89.1,-0.419,18.75,20.27,01a58259o0788o
58259.601503,-20.998,1.273,-14,18,o,0,1.21,318.17044,-42.50001,6655.72,690.51,3.57,3.26,80.4,-0.406,18.92,20.39,01a58259o0800o
58261.576774,21.226,1.01,12,12,o,0,1.65,318.17044,-42.50001,6135.74,8401.52,2.22,2.18,33.4,-0.444,19.31,20.31,02a58261o0764o
58261.578145,21.852,1.906,7,13,o,0,1.19,318.17044,-42.50001,6150.05,8440.15,2.23,2.19,38.6,-0.458,19.32,20.31,02a58261o0767o
58261.587751,20.664,0.71,20,14,o,0,0.82,318.17044,-42.50001,6091.73,8364.27,2.27,2.24,-4.5,-0.443,19.33,20.41,02a58261o0788o
58261.593705,21.91,1.7,6,11,o,0,1.4,318.17044,-42.50001,6075.68,8481.39,2.36,2.2,-44.3,-0.424,19.32,20.45,02a58261o0801o
58263.571654,-19.884,2.529,-40,102,o,0,1.18,318.17044,-42.50001,5353.04,2271.5,3.12,3.02,68.0,-0.434,17.25,18.62,01a58263o0725o
58263.579484,22.369,7.75,4,32,o,0,1.2,318.17044,-42.50001,5323.69,2207.44,3.15,2.94,8.6,-0.444,18.07,19.44,01a58263o0742o
58263.587282,-20.23,1.4,-29,41,o,0,1.2,318.17044,-42.50001,5370.04,2259.29,3.16,3.08,11.9,-0.435,18.01,19.42,01a58263o0759o
58263.59513,-20.299,1.382,-28,38,o,0,1.02,318.17044,-42.50001,5372.59,2116.29,3.08,2.96,-4.8,-0.439,18.1,19.49,01a58263o0776o
58273.550649,-17.957,1.204,-238,287,o,0,1.14,318.17044,-42.50001,5815.28,9672.1,2.16,2.05,-41.3,-0.484,16.02,16.67,02a58273o0677o
58273.564742,21.088,6.845,13,91,o,0,0.71,318.17044,-42.50001,1361.75,50.33,2.06,1.77,57.2,-0.561,17.82,18.75,02a58273o0707o
58273.565657,-19.377,0.628,-64,40,o,0,1.21,318.17044,-42.50001,5837.9,9712.56,2.24,2.1,-19.7,-0.454,17.84,18.63,02a58273o0709o
58273.566115,18.828,0.353,107,38,o,0,1.08,318.17044,-42.50001,5780.46,9634.12,2.3,2.17,-21.5,-0.466,17.87,18.67,02a58273o0710o
58273.574396,-20.525,3.141,-22,70,o,0,1.82,318.17044,-42.50001,5750.33,9751.63,2.25,2.11,-4.9,-0.448,18.1,18.72,02a58273o0728o
58273.576226,-20.601,19.442,-21,406,o,0,0.3,318.17044,-42.50001,1271.69,91.87,1.95,1.77,69.3,-0.584,17.3,18.58,02a58273o0732o
58274.604198,-19.846,0.985,-42,41,o,0,0.76,318.17044,-42.50001,812.9,364.36,2.18,1.94,57.0,-0.527,17.97,19.25,02a58274o0749o
58274.607894,-20.508,1.937,-23,44,o,0,1.14,318.17044,-42.50001,768.43,386.88,2.33,2.06,46.2,-0.51,17.9,19.2,02a58274o0755o
58274.619565,-19.137,1.171,-80,94,o,0,0.87,318.17044,-42.50001,5110.44,432.68,3.15,2.74,60.1,-0.413,17.31,18.05,02a58274o0776o
58274.620021,-21.391,15.4,-10,155,o,0,1.04,318.17044,-42.50001,9585.62,10047.44,3.63,2.79,58.3,-0.443,16.64,18.25,02a58274o0777o
58275.540894,-20.555,1.238,-22,27,o,0,0.81,318.17044,-42.50001,4191.72,412.07,3.52,3.18,11.3,-0.396,18.6,19.75,01a58275o0680o
58275.548279,21.713,4.0,8,30,o,0,0.98,318.17044,-42.50001,8693.43,10036.91,4.53,3.05,-84.6,-0.404,18.56,19.64,01a58275o0696o
58275.548738,20.216,0.727,30,22,o,0,1.11,318.17044,-42.50001,4166.11,346.89,3.4,2.97,3.1,-0.394,18.71,19.84,01a58275o0697o
58275.556127,-20.441,1.279,-24,31,o,0,0.92,318.17044,-42.50001,8666.8,9952.37,4.81,3.29,-84.3,-0.37,18.56,19.75,01a58275o0713o
58275.556587,21.166,1.72,12,21,o,0,1.56,318.17044,-42.50001,4198.81,399.29,3.47,3.09,10.0,-0.403,18.73,19.89,01a58275o0714o
58275.563986,22.926,11.375,2,28,o,0,1.05,318.17044,-42.50001,8715.39,10022.83,4.32,3.07,-84.4,-0.406,18.62,19.79,01a58275o0730o
58275.564446,19.804,0.484,44,21,o,0,1.08,318.17044,-42.50001,4215.62,254.83,3.37,3.03,9.5,-0.394,18.74,19.93,01a58275o0731o
58275.571834,19.299,0.419,69,29,o,0,0.99,318.17044,-42.50001,8732.71,9877.75,4.58,3.26,-84.8,-0.387,18.64,19.81,01a58275o0747o
58279.542164,20.452,0.837,24,20,o,0,0.84,318.17044,-42.50001,4817.7,1372.79,3.1,3.0,57.4,-0.435,19.01,20.42,01a58279o0656o
58279.550004,-22.225,4.562,-5,21,o,0,0.77,318.17044,-42.50001,4792.93,1306.69,3.31,3.04,-0.9,-0.421,18.68,20.11,01a58279o0673o
58279.55786,-21.702,3.947,-8,30,o,0,0.77,318.17044,-42.50001,4840.52,1357.32,3.24,2.96,3.0,-0.436,18.34,19.81,01a58279o0690o
58279.565715,24.238,24.667,1,18,o,0,0.77,318.17044,-42.50001,4844.71,1212.42,3.29,3.0,-0.5,-0.421,19.03,20.47,01a58279o0707o
58281.536654,21.388,2.25,10,23,c,0,1.09,318.17044,-42.50001,10399.03,677.43,2.88,2.72,0.0,-0.396,19.0,21.39,02a58281o0595c
58281.538027,20.339,0.904,27,24,c,0,1.01,318.17044,-42.50001,10369.66,637.02,2.84,2.73,4.0,-0.406,18.96,21.38,02a58281o0598c
58281.538941,-20.936,0.872,-15,13,c,0,1.07,318.17044,-42.50001,4768.65,10222.63,2.66,2.55,10.4,-0.41,19.57,21.55,02a58281o0600c
58281.547835,23.253,8.2,2,15,c,0,1.55,318.17044,-42.50001,194.74,597.23,2.78,2.48,40.1,-0.5,18.96,21.44,02a58281o0618c
58281.548293,-23.797,11.429,-1,13,c,0,1.37,318.17044,-42.50001,4779.73,10262.12,2.63,2.5,-0.3,-0.417,19.57,21.6,02a58281o0619c
58281.548751,21.483,2.24,9,21,c,0,1.07,318.17044,-42.50001,10323.33,597.46,2.8,2.69,-11.8,-0.415,18.95,21.34,02a58281o0620c
58281.555661,20.822,1.167,17,20,c,0,0.63,318.17044,-42.50001,206.41,637.47,2.95,2.62,40.8,-0.476,18.91,21.4,02a58281o0635c
58281.556119,21.742,1.667,7,12,c,0,1.01,318.17044,-42.50001,4734.54,10185.63,2.66,2.49,2.2,-0.417,19.55,21.61,02a58281o0636c
58281.556577,-20.227,0.756,-29,22,c,0,0.96,318.17044,-42.50001,10304.77,716.82,2.78,2.69,12.7,-0.414,18.92,21.3,02a58281o0637c
58281.563478,-21.283,1.586,-11,18,c,0,1.06,318.17044,-42.50001,144.45,560.67,2.78,2.5,36.8,-0.462,18.91,21.36,02a58281o0652c
58281.563935,23.826,11.0,1,12,c,0,1.32,318.17044,-42.50001,4703.23,10304.42,2.74,2.59,4.7,-0.415,19.49,21.6,02a58281o0653c
58281.571286,22.736,5.75,3,17,c,0,1.15,318.17044,-42.50001,128.98,679.25,2.66,2.37,41.0,-0.486,18.93,21.31,02a58281o0669c
58283.536958,20.145,0.596,32,19,o,0,1.05,318.17044,-42.50001,4533.89,152.98,3.7,3.42,3.4,-0.391,18.94,20.54,01a58283o0622o
58283.544352,25.033,62.0,0,22,o,0,1.06,318.17044,-42.50001,9127.88,9755.19,4.65,3.35,-84.2,-0.384,18.91,20.39,01a58283o0638o
58283.544813,-23.601,14.4,-1,19,o,0,1.17,318.17044,-42.50001,4518.48,113.68,3.56,3.28,4.0,-0.381,19.0,20.55,01a58283o0639o
58283.552196,-19.98,0.643,-37,24,o,0,0.81,318.17044,-42.50001,9099.25,9716.04,4.92,3.43,-83.2,-0.37,18.82,20.41,01a58283o0655o
