MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58434.458394,14.624,0.75,5134,3849,o,0,1.41,64.16321,40.04256,6869.03,3165.08,3.32,2.7,-89.7,-0.444,19.32,21.14,01a58434o0599o
58434.46688,15.041,0.933,3496,3264,o,0,1.23,64.16321,40.04256,6882.0,3238.01,3.33,2.7,-86.6,-0.444,19.36,21.14,01a58434o0616o
58434.479633,-16.4,3.831,-1000,3830,o,0,1.7,64.16321,40.04256,6836.27,3211.21,3.5,2.86,88.0,-0.43,19.3,21.18,01a58434o0643o
58434.485056,-18.249,12.325,-182,2246,o,0,1.58,64.16321,40.04256,6807.26,3349.19,3.26,3.21,-58.4,-0.412,19.29,21.19,01a58434o0654o
58436.468758,0.0,0.0,0,0,c,0,-2.0,64.16321,40.04256,1011.46,4258.66,2.39,2.33,12.6,-0.44,19.7,21.54,02a58436o0610c
58436.4758,13.223,0.86,18663,16048,c,0,0.0,64.16321,40.04256,1039.92,4262.29,2.36,2.31,40.7,-0.442,19.72,21.54,02a58436o0625c
58436.487496,-16.29,0.01,-1106,11,c,0,95.4,64.16321,40.04256,10501.67,4415.5,2.63,2.51,-85.7,-0.451,19.71,21.55,02a58436o0650c
58436.488946,-13.793,1.318,-11032,14546,c,0,0.0,64.16321,40.04256,1098.02,4340.21,2.34,2.26,8.7,-0.441,19.72,21.55,02a58436o0653c
58436.494822,17.211,30.708,474,14550,c,0,0.0,64.16321,40.04256,1109.8,4223.55,2.5,2.39,-53.5,-0.416,19.67,21.54,02a58436o0664c
58436.495736,-16.033,0.002,-1402,3,c,0,151.72,64.16321,40.04256,10484.04,4375.27,2.54,2.43,72.1,-0.462,19.75,21.54,02a58436o0666c
58438.443673,15.253,3.898,2876,11211,o,0,0.41,64.16321,40.04256,8853.15,4933.44,3.68,2.72,-86.2,-0.453,19.05,20.69,01a58438o0569o
58438.451095,14.133,0.465,8070,3748,o,0,1.44,64.16321,40.04256,8866.33,5000.33,3.71,2.78,-86.5,-0.452,19.21,20.96,01a58438o0585o
58438.458067,14.263,0.991,7161,7098,o,0,1.14,64.16321,40.04256,8804.83,4952.17,3.81,2.84,-87.4,-0.439,19.0,20.75,01a58438o0600o
58438.471053,14.441,0.895,6077,5440,o,0,0.91,64.16321,40.04256,8791.95,5120.88,3.81,2.82,-86.5,-0.445,19.34,21.19,01a58438o0627o
58442.439764,13.625,1.079,12882,13894,o,0,1.02,64.16321,40.04256,10277.67,5794.93,4.53,2.94,-85.4,-0.463,18.69,19.84,01a58442o0535o
58442.449535,15.568,1.751,2151,3767,o,0,0.84,64.16321,40.04256,839.55,5896.52,3.08,2.62,-86.2,-0.467,18.79,19.92,01a58442o0556o
