MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58493.275931,21.829,2.032,7,14,o,0,1.03,2.87006,35.973,6918.36,3577.96,3.3,2.94,86.7,-0.422,19.24,21.01,01a58493o0186o
58493.281798,20.555,0.614,22,13,o,0,1.04,2.87006,35.973,6898.67,3712.84,3.27,2.93,88.1,-0.424,19.3,21.01,01a58493o0198o
58496.207288,21.771,3.082,7,22,o,0,0.85,2.87006,35.973,781.52,3350.7,1.95,1.89,-49.0,-0.466,18.8,19.28,02a58496o0038o
58496.214682,20.143,0.425,32,14,o,0,1.16,2.87006,35.973,746.78,3309.24,2.07,2.0,-32.8,-0.441,19.23,20.21,02a58496o0054o
58496.216099,20.138,0.471,32,15,o,0,1.05,2.87006,35.973,10378.89,3391.44,2.24,1.98,-45.0,-0.476,19.26,20.3,02a58496o0057o
58496.224429,-21.093,0.943,-13,12,o,0,1.27,2.87006,35.973,807.72,3385.38,2.06,1.99,9.4,-0.459,19.33,20.37,02a58496o0075o
58496.225846,21.543,1.167,9,10,o,0,2.43,2.87006,35.973,10358.85,3351.51,2.29,2.04,-43.1,-0.465,19.28,20.41,02a58496o0078o
58496.234314,-20.837,0.687,-17,12,o,0,1.15,2.87006,35.973,839.02,3265.22,1.99,1.92,-48.0,-0.45,19.33,20.34,02a58496o0096o
58496.235711,21.205,1.198,12,14,o,0,0.86,2.87006,35.973,10404.27,3429.93,2.32,2.16,-42.5,-0.46,19.26,20.38,02a58496o0099o
58496.24559,22.561,4.308,3,15,o,0,1.16,2.87006,35.973,10434.85,3313.74,2.38,2.14,-38.4,-0.449,19.2,20.34,02a58496o0120o
58497.26024,19.784,0.441,44,20,o,0,0.88,2.87006,35.973,5057.76,1688.76,3.88,3.19,-1.2,-0.415,18.98,20.25,01a58497o0149o
