MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,phase,uJy_clip,duJy_plot,uplim
57842.558453,20.495,1.371,23,32,o,0,0.87,195.70711,1.82167,8935.28,8313.98,3.92,3.48,-16.2,-0.464,18.92,20.79,01a57842o0660o,0.1948928449399592,23.0,30.0,True
57845.503175,-20.071,0.792,-34,27,o,0,0.9,195.70711,1.82167,10181.6,8164.0,3.81,3.69,-1.7,-0.439,19.01,20.93,01a57845o0533o,0.4662700241697838,-34.0,27.0,False
57845.52227,21.046,2.143,14,30,o,0,1.33,195.70711,1.82167,454.19,8304.82,4.93,4.48,79.1,-0.432,18.95,20.9,01a57845o0569o,0.7598315037886673,14.0,30.0,False
57845.53447,-20.306,0.951,-27,26,o,0,1.07,195.70711,1.82167,10143.17,8125.92,3.9,3.74,-10.8,-0.436,18.9,20.78,01a57845o0592o,0.9473910769736794,-27.0,26.0,False
57845.537613,-19.433,0.565,-61,34,o,0,1.27,195.70711,1.82167,474.92,8342.76,4.87,4.47,77.9,-0.43,18.94,20.79,01a57845o0598o,0.9957107277089755,-61.0,30.0,True
57845.549719,-20.206,0.884,-30,26,o,0,1.15,195.70711,1.82167,10126.01,8243.29,3.98,3.84,-12.7,-0.423,18.86,20.74,01a57845o0621o,0.18182516982608832,-30.0,26.0,False
57845.553399,-19.618,0.62,-52,32,o,0,1.14,195.70711,1.82167,416.67,8263.9,5.03,4.61,79.4,-0.413,18.91,20.8,01a57845o0628o,0.23840051641691437,-52.0,30.0,True
57845.568651,-19.635,0.761,-51,39,o,0,1.11,195.70711,1.82167,395.89,8379.84,5.15,4.79,69.3,-0.417,18.85,20.69,01a57845o0657o,0.4728807304914677,-51.0,30.0,True
57846.491131,-21.487,2.937,-9,27,o,0,0.89,195.70711,1.82167,8860.38,7417.65,3.68,3.31,-16.2,-0.482,18.96,20.82,01a57846o0295o,0.6548442640075521,-9.0,27.0,False
57846.506944,20.691,1.517,19,29,o,0,1.04,195.70711,1.82167,8881.13,7457.56,3.99,3.58,-13.0,-0.458,18.85,20.76,01a57846o0325o,0.8979491436029323,19.0,29.0,False
