MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58703.420694,-21.797,1.517,-7,10,c,0,0.9,282.18089,33.08094,2712.04,6650.6,2.41,2.36,-42.8,-0.407,19.6,21.21,02a58703o0376c
58703.426577,21.214,0.907,12,11,c,0,0.73,282.18089,33.08094,2696.76,6610.79,2.45,2.38,-42.5,-0.404,19.64,21.35,02a58703o0388c
58703.43058,22.169,1.902,5,9,c,0,0.96,282.18089,33.08094,2749.23,6688.07,2.41,2.35,-49.1,-0.411,19.66,21.48,02a58703o0396c
58703.442758,-21.44,0.861,-10,8,c,0,1.52,282.18089,33.08094,2768.32,6570.31,2.41,2.39,32.5,-0.402,19.77,21.84,02a58703o0420c
58705.345718,22.049,3.379,6,19,o,0,1.02,282.18089,33.08094,2028.65,4252.14,3.05,2.74,-8.7,-0.453,18.99,20.31,01a58705o0073o
58705.348578,19.263,0.413,72,30,o,0,0.72,282.18089,33.08094,2049.06,4290.78,3.12,2.8,-8.5,-0.431,18.59,19.75,01a58705o0079o
58705.354284,22.147,3.72,5,19,o,0,0.74,282.18089,33.08094,1988.9,4214.04,3.14,2.97,-0.6,-0.42,19.03,20.48,01a58705o0091o
58705.375022,-20.859,1.195,-16,20,o,0,0.73,282.18089,33.08094,1974.18,4327.48,3.05,2.75,-4.0,-0.46,19.02,20.58,01a58705o0133o
58707.242698,20.832,1.838,17,31,c,0,0.77,282.18089,33.08094,180.66,7750.64,2.66,2.17,-51.9,-0.37,18.45,19.31,02a58707o0038c
58707.255177,21.345,2.163,10,23,c,0,0.71,282.18089,33.08094,197.25,7792.01,2.66,2.21,-53.3,-0.383,18.8,19.73,02a58707o0063c
58707.259529,20.025,0.551,36,20,c,0,1.29,282.18089,33.08094,138.71,7711.09,2.69,2.19,-53.6,-0.375,18.82,19.75,02a58707o0072c
