objID,detectID,filterID,obsTime,ra,dec,psfFlux,psfFluxErr,psfQfPerfect,infoFlag,filter,mag,magerr
147692821808927724,269549484260002465,3,56796.4951179,282.18088424,33.08094209,8.48025010782294e-05,1.8311700387130256e-06,0.9794570207595824,102760453,i,19.07897834729289,0.02344389948118075
147692821808927724,280330391150002136,3,56904.3041819,282.18088693,33.08093475,8.143430022755638e-05,1.7033900121532497e-06,0.9984189867973328,102760517,i,19.122981578012737,0.02270997025856408
147692821808927724,280331765150002069,3,56904.3179154,282.18088437,33.08093242,8.09597986517474e-05,1.6774099549365928e-06,0.7338619828224182,102760517,i,19.129326451499814,0.022494670421655646
147692821808927724,280333136150002054,3,56904.3316314,282.18087668,33.08093533,8.251539838965982e-05,1.8673099475563504e-06,0.9968270063400269,102760517,i,19.108662497969377,0.024569213136296023
147692821808927724,280334513150002194,3,56904.3454038,282.1808912,33.08094183,8.381150109926239e-05,1.7925200381796458e-06,0.9994710087776184,102760453,i,19.091740952194662,0.02322042893787007
147692821808927724,288419267330004160,4,56985.1928552,282.1809283,33.08097354,5.376620174502023e-05,6.331380063784309e-06,0.99972802400589,35651585,z,19.57372660675415,0.12784945025221695
147692821808927724,288419467330003069,4,56985.1948568,282.18089188,33.08091375,7.06115024513565e-05,5.9841199799848255e-06,0.9996780157089232,35651585,z,19.27781136903279,0.09200992524900897
147692821808927724,263563601620003203,4,56736.6363662,282.18088739,33.08093976,6.96931965649128e-05,2.2057699879951542e-06,0.9973620176315308,102760453,z,19.292024038920324,0.03436209836832207
147692821808927724,280325063760000901,3,56904.250907,282.18087739,33.08094151,8.63621971802786e-05,1.7031200059136609e-06,0.999234974384308,102760453,i,19.059190792780242,0.02141072657705276
147692821808927724,280326359760001009,3,56904.2638693,282.18086641,33.08094713,8.575840183766559e-05,2.255010031149141e-06,0.9984880089759828,102760453,i,19.066808302324105,0.02854839104223291
147692821808927724,280327655760001023,3,56904.2768228,282.18088029,33.08094098,8.461379911750555e-05,1.8167199868912576e-06,0.9984250068664552,102760517,i,19.081397012263814,0.023310770942085862
147692821808927724,280328953760000983,3,56904.2898082,282.1808728,33.08093793,8.026930299820378e-05,1.9878600596712204e-06,0.9978970289230348,102760517,i,19.138626270281634,0.02688723567007103
147692821808927724,280524949740001979,3,56906.249755,282.18087527,33.08094191,8.184369653463364e-05,2.074659960271674e-06,0.9966560006141664,102760453,i,19.117536909006517,0.027521463646424972
147692821818697939,156658561510004131,5,55667.5857903,282.1818631,33.08109191,4.640699989977293e-05,1.0564100193732884e-05,0.6870689988136292,35651585,y,19.733541266901597,0.24714899918345967
